unknown	49153/tcp	0.006158
blackice-icecap	8081/tcp	0.006147
nfs	2049/tcp	0.006110
kerberos-sec	88/tcp	0.006072
unknown	49162/udp	0.006024
unknown	49187/udp	0.006024
unknown	49189/udp	0.006024
unknown	49195/udp	0.006024
finger	79/tcp	0.006022
vnc-http	5800/tcp	0.005947
veritas-ucl	2148/udp	0.005946
pop3pw	106/tcp	0.005934
ccproxy-ftp	2121/tcp	0.005834
nfsd-status	1110/tcp	0.005809
unknown	49155/tcp	0.005702
unknown	41524/udp	0.005697
X11	6000/tcp	0.005683
login	513/tcp	0.005595
amanda	10080/udp	0.005585
ftps	990/tcp	0.005570
wsdapi	5357/tcp	0.005474
svrloc	427/tcp	0.005382
sometimes-rpc8	32772/udp	0.005352
unknown	49156/tcp	0.005322
timbuktu	407/udp	0.005305
nameserver	42/udp	0.005288
klogin	543/tcp	0.005282
kshell	544/tcp	0.005269
unknown	33354/udp	0.005179
activesync-notify	1034/udp	0.005173
admdog	5101/tcp	0.005156
unknown	49180/udp	0.005020
unknown	49199/udp	0.005020
news	144/tcp	0.004981
unknown	1001/udp	0.004955
ms-wbt-server	3389/udp	0.004955
gnutella	6346/udp	0.004893
echo	7/tcp	0.004855
ftp	21/udp	0.004844
daytime	13/udp	0.004827
talk	517/udp	0.004794
instl_bootc	1068/udp	0.004778
ldap	389/tcp	0.004717
ajp13	8009/tcp	0.004642
ftps	990/udp	0.004625
danf-ak2	1041/udp	0.004625
fpitp	1045/udp	0.004625
hp-hcip	1782/udp	0.004625
X11:1	6001/udp	0.004625
keysrvr	19283/udp	0.004575
unknown	49171/udp	0.004518
unknown	49179/udp	0.004518
unknown	49184/udp	0.004518
unknown	49202/udp	0.004518
unknown	49205/udp	0.004518
unknown	49208/udp	0.004518
unknown	49209/udp	0.004518
unknown	49210/udp	0.004518
squid-http	3128/tcp	0.004516
sd	9876/udp	0.004498
snpp	444/tcp	0.004466
sygatefw	39213/udp	0.004446
abyss	9999/tcp	0.004441
airport-admin	5009/tcp	0.004416
mdbs_daemon	800/udp	0.004333
realserver	7070/tcp	0.004328
ldap	389/udp	0.004300
kpasswd5	464/udp	0.004300
nsstp	1036/udp	0.004295
mtqp	1038/udp	0.004295
sbl	1039/udp	0.004295
timbuktu-srv3	1419/udp	0.004267
aol	5190/tcp	0.004190
osu-nms	192/udp	0.004168
smux	199/udp	0.004152
unknown	44968/udp	0.004143
ppp	3000/tcp	0.004115
postgresql	5432/tcp	0.004090
ufsd	1008/udp	0.004020
unknown	49159/udp	0.004016
unknown	49166/udp	0.004016
upnp	1900/tcp	0.003977
mapper-ws_ethd	3986/tcp	0.003977
unknown	1024/udp	0.003964
netinfo-local	1033/udp	0.003964
daytime	13/tcp	0.003927
unknown	19682/udp	0.003922
unknown	22986/udp	0.003922
ssh	22/udp	0.003905
ms-lsa	1029/tcp	0.003801
discard	9/tcp	0.003764
globe	2002/udp	0.003740
ida-agent	5051/tcp	0.003649
unknown	6646/tcp	0.003649
secure-aux-bus	664/udp	0.003634
exp1	1021/udp	0.003634
unknown	11487/udp	0.003634
unknown	49157/tcp	0.003573
unknown	49163/udp	0.003514
unknown	49165/udp	0.003514
unknown	49168/udp	0.003514
unknown	49172/udp	0.003514
unknown	58002/udp	0.003514
boinc	1043/udp	0.003493
unknown	1028/tcp	0.003421
rsync	873/tcp	0.003400
wms	1755/tcp	0.003350
pn-requester	2717/tcp	0.003345
radmin	4899/tcp	0.003337
corba-iiop	683/udp	0.003304
unknown	1019/udp	0.003304
dcutility	1044/udp	0.003304
td-postman	1049/udp	0.003304
vrtstrapserver	1885/udp	0.003304
apc-3052	3052/udp	0.003304
sentinel-lm	5093/udp	0.003304
nat-pmp	5351/udp	0.003304
X11	6000/udp	0.003304
unknown	7938/udp	0.003304
securid	5500/udp	0.003295
jetdirect	9100/tcp	0.003287
unknown	16680/udp	0.003268
unknown	27892/udp	0.003268
nntp	119/tcp	0.003262
sometimes-rpc10	32773/udp	0.003238
time	37/tcp	0.003161
cadlock	1000/tcp	0.003149
nessus	3001/tcp	0.003124
unknown	35777/udp	0.003107
unknown	41058/udp	0.003107
auth	113/udp	0.003031
commplex-link	5001/tcp	0.003023
unknown	49160/udp	0.003012
unknown	49169/udp	0.003012
unknown	49174/udp	0.003012
unknown	52225/udp	0.003012
mdc-portmapper	685/udp	0.002973
hcp-wismar	686/udp	0.002973
neod1	1047/udp	0.002973
vfo	1056/udp	0.002973
leoip	1886/udp	0.002973
X11:4	6004/udp	0.002973
sophos	8193/udp	0.002973
landesk-cba	38293/udp	0.002970
hp-managed-node	782/udp	0.002933
xfer	82/tcp	0.002923
concert	786/udp	0.002900
rxapi	10010/tcp	0.002889
landesk-cba	38037/udp	0.002869
iad1	1030/tcp	0.002860
sometimes-rpc12	32774/udp	0.002819
zeus-admin	9090/tcp	0.002747
msmq-mgmt	2107/tcp	0.002737
kdm	1024/tcp	0.002722
wpgs	780/udp	0.002718
socks	1080/udp	0.002685
sometimes-rpc14	32775/udp	0.002668
zephyr-clt	2103/tcp	0.002661
xfr	682/udp	0.002643
unknown	983/udp	0.002643
unknown	1014/udp	0.002643
brvread	1054/udp	0.002643
fpo-fns	1066/udp	0.002643
epnsdp	2051/udp	0.002643
unknown	6970/udp	0.002643
unknown	6971/udp	0.002643
apc-9950	9950/udp	0.002643
hp-collector	781/udp	0.002636
mmcc	5050/udp	0.002636
unknown	16832/udp	0.002614
unknown	16947/udp	0.002614
unknown	18449/udp	0.002614
unknown	19120/udp	0.002614
unknown	19503/udp	0.002614
unknown	19616/udp	0.002614
unknown	20019/udp	0.002614
unknown	20126/udp	0.002614
unknown	20389/udp	0.002614
unknown	21383/udp	0.002614
unknown	22846/udp	0.002614
unknown	22996/udp	0.002614
unknown	25375/udp	0.002614
unknown	27195/udp	0.002614
unknown	28547/udp	0.002614
unknown	29823/udp	0.002614
unknown	30303/udp	0.002614
unknown	30365/udp	0.002614
unknown	31073/udp	0.002614
unknown	31681/udp	0.002614
unknown	31891/udp	0.002614
X11:4	6004/tcp	0.002597
unknown	33355/udp	0.002589
unknown	42172/udp	0.002589
msmq	1801/tcp	0.002585
mmcc	5050/tcp	0.002584
sometimes-rpc22	32779/udp	0.002584
chargen	19/tcp	0.002559
unknown	49167/udp	0.002510
unknown	49175/udp	0.002510
unknown	49198/udp	0.002510
unknown	49204/udp	0.002510
unknown	49212/udp	0.002510
unknown	49213/udp	0.002510
unknown	49215/udp	0.002510
unknown	52503/udp	0.002510
unknown	53571/udp	0.002510
unknown	8031/tcp	0.002509
rfe	5002/udp	0.002504
danf-ak2	1041/tcp	0.002433
halflife	27015/udp	0.002432
unknown	255/tcp	0.002409
neod2	1048/tcp	0.002357
td-postman	1049/tcp	0.002357
remote-as	1053/tcp	0.002357
brvread	1054/tcp	0.002357
vfo	1056/tcp	0.002357
jstel	1064/tcp	0.002357
syscomlan	1065/tcp	0.002357
symantec-av	2967/tcp	0.002357
adobeserver-3	3703/tcp	0.002357
filemaker	5003/udp	0.002356
qotd	17/tcp	0.002346
afs3-fileserver	7000/udp	0.002339
who	513/udp	0.002323
lansource	1485/udp	0.002323
corba-iiop-ssl	684/udp	0.002313
ams	1037/udp	0.002313
neod2	1048/udp	0.002313
syscomlan	1065/udp	0.002313
ff-fms	1090/udp	0.002313
cft-0	1761/udp	0.002313
bacula-sd	9103/udp	0.002313
ccproxy-http	808/tcp	0.002296
rendezvous	3689/tcp	0.002283
sometimes-rpc18	32777/udp	0.002282
apertus-ldp	539/udp	0.002274
mobileip-agent	434/udp	0.002257
phonebook	767/udp	0.002257
bo2k	54321/udp	0.002246
squid-snmp	3401/udp	0.002241
iad2	1031/tcp	0.002221
mcidas	112/udp	0.002208
dcutility	1044/tcp	0.002205
bsquare-voip	1071/tcp	0.002205
vnc-1	5901/tcp	0.002145
biff	512/udp	0.002142
ock	1000/udp	0.002142
gnutella2	6347/udp	0.002142
newacct	100/tcp	0.002133
jetdirect	9102/tcp	0.002133
